"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"BAHCLEAN LTD","13850959","Active","Private limited company","","","","81210","152 Tower Road Tividale Oldbury B69 1PE","B69 1PE","81","2022","1","15","","","","52.5009742","-2.040399",
"JST SUPPLIES LTD","14916366","Active","Private limited company","","","","47910","Provincial Safety Services C/O Jst Supplies Portway Road Oldbury B69 2BP","B69 2BP","47","2023","6","5","","","","52.49977","-2.02492",
"ECHO HAIR LIMITED","8530212","Active","Private limited company","","","","46450","18 Dollman Street Birmingham B7 4RP","B7 4RP","46","2013","5","15","","","","52.4867349","-1.8715971999999996",
"HEALTHVILLAGEPLUS LIMITED","8567479","Active","Private limited company","","","","46460 47730 71200 72190","20 Avenue Close Office 1 Birmingham B7 4NU","B7 4NU","46 47 71 72","2013","6","13","","","","52.5563947","-1.90525125",
"MIDLANDS ORTHOPAEDIC SUPPLIES LIMITED","933359","Active","Private limited company","","","","99999","Unit 1 Ringway Business Park Richard Street Aston Birmingham B7 4AA","B7 4AA","99","1968","6","6","","","","52.49420200000001","-1.8822544",
"GENTING UK PLC","1519749","Active","Public limited company","","","","64209 70100","Genting Club Star City Watson Road Birmingham B7 5SA","B7 5SA","64 70","1980","10","1","","","","52.505579","-1.85667",
"NEW DRAGON INN LTD","9301404","Active","Private limited company","","","","56103","Unit 3a Wing Yip Business Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","56","2014","11","7","","","","52.5029582","-1.8721261",
"PROBUILD 360 NEW HOMES LIMITED","8965535","Active","Private limited company","","","","41202","Unit 1 Phoenix Business Park Avenue Road Birmingham B7 4NU","B7 4NU","41","2014","3","28","","","","52.49467","-1.879562",
"AARAN CARE SERVICES LTD","9165862","Active","Private limited company","","","","86102","33 Bloomsbury Walk Birmingham B7 5DG","B7 5DG","86","2014","8","7","","","","52.49340959999999","-1.8704408000000001",
"BURLEY LAW LIMITED","9121446","Active","Private limited company","","","","69102","Universities Centre Faraday Wharf Holt Street Birmingham B7 4BB","B7 4BB","69","2014","7","8","","","","52.488718500000004","-1.8881355",
"BEACON CHILDCARE LTD","9137138","Active","Private limited company","","","","87900","Unit 28 Avenue Close Phoenix Business Park Birmingham B7 4NU","B7 4NU","87","2014","7","18","","","","52.49467","-1.879562",
"E.S. ENVIROSERV LIMITED","3347485","Active","Private limited company","","","","43210 43220 43310 43341","22 Phoenix Business Park Avenue Close  Aston Birmingham B7 4NU","B7 4NU","43   ","1997","4","8","","","","52.49467","-1.879562",
"SASAKI INTERNATIONAL LIMITED","3482247","Active","Private limited company","","","","47190","Unit 1 Maple Business Park Walter Street Birmingham B7 5ET","B7 5ET","47","1997","12","17","","","","52.49745788888888","-1.8749173333333333",
"CALIBRE WINDOWS AND CONSERVATORIES LIMITED","3707511","Active","Private limited company","","","","43999","Unit 7 Rocky Lane Trading Estate William Henry Street Birmingham B7 5ER","B7 5ER","43","1999","2","3","","","","52.49594377777778","-1.8789258888888891",
"ALTERNATIVE COMMUNICATIONS SYSTEMS LTD","5586137","Active","Private limited company","","","","80200","Unit A5 Seedbed Centre Avenue Rd, Aston Birmingham B7 4NT","B7 4NT","80","2005","10","7","","","","52.495241799999995","-1.880357",
"GENTING SOLIHULL LIMITED","6601106","Active","Private limited company","","","","55100 68202 68209","Genting Club Star City Watson Road Birmingham B7 5SA","B7 5SA","55 68 ","2008","5","23","","","","52.505579","-1.85667",
"EXTERNAL WALL SOLUTIONS LTD","7031783","Active","Private limited company","","","","43330","14 Dollman Street Birmingham B7 4RP","B7 4RP","43","2009","9","28","","","","52.486213799999994","-1.8722657999999999",
"GENTING INTERNATIONAL INVESTMENT (UK) LIMITED","5819030","Active","Private limited company","","","","64209","Genting Club Star City Watson Road Birmingham B7 5SA","B7 5SA","64","2006","5","16","","","","52.505579","-1.85667",
"M&E ENVIRONMENTAL TECHNOLOGIES LTD","6990682","Active","Private limited company","","","","43220 81100","M&E House 19 Cato Street Birmingham B7 4TS","B7 4TS","43 81","2009","8","14","","","","52.4900914","-1.8693018000000001",
