"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"ULG INTERNATIONAL LIMITED","937426","Active","Private limited company","","","","70229","Albert House Quay Place Edward Street Birmingham B1 2RA","B1 2RA","70","1968","8","19","","","","52.48110012","-1.9130783599999999",
"ASSETFINANCE DECEMBER (F) LIMITED","957327","Active","Private limited company","","","","64910","1 Centenary Square Birmingham B1 1HQ","B1 1HQ","64","1969","7","1","","","","52.47859091666667","-1.9070163333333332",
"VERMILLION FILMS LTD","7618755","Active","Private limited company","","","","82990","Office 1 Izabella House 24-26 Regent Place, City Centre Birmingham B1 3NJ","B1 3NJ","82","2011","5","3","","","","52.48616493333334","-1.9100368",
"FATTAL LEONARDO HOTELS (UK) LTD","9237813","Active","Private limited company","","","","55100","245 Broad Street Birmingham B1 2HQ","B1 2HQ","55","2014","9","26","","","","52.476852","-1.911821",
"JE + 1 LIMITED","8670988","Active","Private limited company","","","","99999","Victoria Works 16e Vittoria Street, Birmingham B1 3PE","B1 3PE","99","2013","9","2","","","","52.484588","-1.9105563333333333",
"MURRAY ALLAN LIMITED","8733739","Active","Private limited company","","","","74100","Ground Floor Unit 1 The Wharf Bridge Street Birmingham B1 2JS","B1 2JS","74","2013","10","15","","","","52.4770443076923","-1.9080292307692308",
"MADISON ONE MEDIA LTD","8743135","Active","Private limited company","","","","96090","9-11 Vittoria Street Birmingham B1 3ND","B1 3ND","96","2013","10","22","","","","52.48520935714286","-1.910360785714286",
"JUNIOR DOCTORS SOC LIMITED","9309837","Active","Private limited company","","","","86210","93 Camden Street Birmingham B1 3DD","B1 3DD","86","2014","11","13","","","","52.48391459999999","-1.9149653999999998",
"SUBLIME PORTE LTD.","9160172","Active","Private limited company","","","","68209","145 Upper Marshall Street Birmingham B1 1LJ","B1 1LJ","68","2014","8","4","","","","52.474410999999996","-1.9056055384615387",
"ISO SERVICE LIMITED","9168055","Active","Private limited company","","","","82990","9-11 Vittoria Street Birmingham B1 3ND","B1 3ND","82","2014","8","8","","","","52.48520935714286","-1.910360785714286",
"TITAN STORAGE SOLUTIONS LIMITED","9079122","Active","Private limited company","","","","70100","Apartment 13 Queens College Chambers 38 Paradise Street Birmingham B1 2AF","B1 2AF","70","2014","6","10","","","","52.47873846666667","-1.903618466666667",
"PROMOTIONAL TAPES & PRODUCTS LIMITED","6716065","Active","Private limited company","","","","13200","Studio 10 Clark`S Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","13","2008","10","6","","","","52.47404376923077","-1.9075247692307695",
"RADBOURNE COURT MANAGEMENT COMPANY LIMITED","5525721","Active","Private limited company","","","","98000","York Laurent 12-13 Frederick Street Birmingham B1 3HE","B1 3HE","98","2005","8","2","","","","52.484978","-1.9113152307692307",
